"","name","N","type","selectedFit","g","d","phi"
"1","1",10,"included","dx",NA,0.00705545249002828,NA
"2","10",5,"included","dx",NA,0.0185713923089202,NA
"3","1006",4,"excluded","not fit",NA,NA,NA
"4","1011",10,"excluded","not fit",NA,NA,NA
"5","1061",4,"included","gd",0.0111117552690346,0.0120951752240258,NA
"6","1072",2,"included","gx",0.0100188182030939,NA,NA
"7","1088",21,"included","gdphi",0.000933260373074615,0.0869409173461112,0.979438468094428
"8","11",10,"included","gd",0.000809636147825501,0.0446745136840671,NA
"9","1114",10,"included","dx",NA,0.0321914656461565,NA
"10","1163",4,"excluded","not fit",NA,NA,NA
"11","1164",2,"included","gx",0.0669339612152231,NA,NA
"12","1170",8,"included","gd",0.000909876493835616,0.0243504379356795,NA
"13","12",7,"included","gx",0.00230474716499083,NA,NA
"14","1219",4,"included","dx",NA,0.0063389249136962,NA
"15","1227",3,"included","dx",NA,0.0350955660697006,NA
"16","1257",7,"included","gx",0.00152022825913161,NA,NA
"17","1270",7,"included","dx",NA,0.035787071100485,NA
"18","1296",12,"included","gd",0.00190258200604807,0.049100198540096,NA
"19","13",10,"included","dx",NA,0.117648722793553,NA
"20","1322",11,"included","gdphi",2.06715395977789e-05,0.0252948626698507,0.999999940006661
"21","1362",13,"included","gd",8.60370605622589e-05,0.0469923906655519,NA
"22","14",3,"included","gd",0.00800041243182754,0.022082026575446,NA
"23","140007401",16,"included","dx",NA,0.00696409819790105,NA
"24","1420",8,"included","gd",0.0034518811522085,0.0713413191635988,NA
"25","1424",9,"included","gd",0.00142239083573915,0.017669902024347,NA
"26","1428",7,"included","gdphi",0.00264054514077268,0.0316240527163383,0.992875588332615
"27","1431",13,"included","dx",NA,0.00100833019021963,NA
"28","1450",6,"included","gd",0.00739341299931107,0.0205878514874252,NA
"29","1453",11,"included","gd",0.00185174903991535,0.00923502796695413,NA
"30","15",2,"excluded","2 evals not 20% diff",NA,NA,NA
"31","1504",12,"included","gd",0.000569681863044415,0.0277974150931714,NA
"32","16",7,"included","dx",NA,0.0325838303472712,NA
"33","17",10,"included","gdphi",0.00183867198396926,0.0357094149648041,0.986636463226657
"34","18",8,"included","gx",0.00836901994902792,NA,NA
"35","19",6,"included","dx",NA,0.00862149554578016,NA
"36","2",4,"included","gd",0.00713587538897422,0.0207799238632721,NA
"37","20",9,"excluded","not fit",NA,NA,NA
"38","21",10,"included","dx",NA,0.00682223863784885,NA
"39","22",3,"included","dx",NA,0.0158057195280017,NA
"40","23",4,"included","dx",NA,0.00589827258905985,NA
"41","24",7,"included","gd",0.00388164701808515,0.00818814790492167,NA
"42","25",4,"included","gd",0.00669782019169386,0.0323165603526658,NA
"43","26",4,"included","dx",NA,0.00607680314573938,NA
"44","27",10,"included","gd",0.00114741169376696,0.0269707350196798,NA
"45","28",3,"excluded","not fit",NA,NA,NA
"46","29",9,"included","dx",NA,0.0324477352614996,NA
"47","3",10,"included","dx",NA,0.0528575525394629,NA
"48","30",2,"included","dx",NA,0.0374278770006452,NA
"49","31",4,"excluded","not fit",NA,NA,NA
"50","4",6,"included","dx",NA,0.00916948668437218,NA
"51","430208501",10,"included","gx",0.00120023207743399,NA,NA
"52","440408401",8,"included","gd",0.000977227611854225,0.0367737806169959,NA
"53","450008501",7,"included","gd",0.0029475217131458,0.0281818257969458,NA
"54","470808401",5,"included","dx",NA,0.0337037455858657,NA
"55","480308611",8,"included","gdphi",0.00324327021733807,0.0457209941724526,0.977960402673341
"56","490308501",22,"included","gdphi",0.0013229377610617,0.0154593743864119,0.799452434678323
"57","5",3,"included","gd",0.0114936460384296,0.024086941039627,NA
"58","500102401",12,"included","dx",NA,0.109180648809251,NA
"59","530002202",9,"included","dx",NA,0.00346857571694286,NA
"60","576000401",10,"included","gdphi",0.00172236478944249,0.0174033890283764,0.983987208009746
"61","6",9,"included","gd",0.00247185215788161,0.00522536288780779,NA
"62","7",3,"included","gd",0.0212841450073926,0.0367850988739531,NA
"63","716100202",9,"included","dx",NA,0.0122128701697679,NA
"64","716100701",7,"included","dx",NA,0.00147985098473642,NA
"65","766000202",12,"included","gd",0.000252961987589733,0.0305666759860957,NA
"66","766000501",8,"included","dx",NA,0.0321879268925373,NA
"67","786000202",5,"included","gd",0.0021747444017406,0.0466376389280014,NA
"68","8",4,"included","dx",NA,0.0149329499798933,NA
"69","9",10,"included","gd",0.000520587607406717,0.0171429880816284,NA
